ref,base,aut,inc,oeu,incfr,gp,ndat,nlc,lc,sre,srcho,mc,cat,comp,dep,autsre,sui,autt,crit,neff,attr,nlitur,tex,num,nott,not,ded,sign,nsre,fcn,fcna,ncho,gnr,cho,cot,part,ed,arg,codinc,lien,intp,eff,instr,nrole,nc,nnc,role,inf,dat,rec,scat,cata,utxt,bibl,disc,cf,évnt,frag,srlitt,gnrt,trad,oeucit,pass,comm,mucont,jlbbur,img,n°img,noms,lcinst
16821039,# compte-rendu,,,,,,,,GENÈVE,"Mercure Galant, octobre 1682 [deuxième partie], p. 190-193",,bal	concert	célébration d'une naissance princière	réception officielle,1682.10.39,,,,,,,,,,"Geneve.		Mr du Pré, Résident pour le Roy à Géneve, ayant receu le Lundy 17. Aoust, la nouvelle de l'heureux Accouchement de Madame la Dauphine, la porta au Magistrat qui estoit assemblé, & l'invita en mesme temps à en venir celébrer la Feste le Mercredy 19. [...] Le jour choisy estant arrivé, tout le Magistrat se rendit en Corps à son Hostel, où il les receut de la maniére du monde la plus remplie d'agrément. Le Repas fut propre, & d'une magnificence à laquelle il eust esté dificile de rien ajoûter. Un excellent Concert de Musique ne contribua pas peu aux plaisirs de cette Feste, dans les intervales que le Canon qu'on faisoit joüer presque incessamment pour les Santez du Roy, de la Reyne & de toute la Maison Royale, cessoit de se faire entendre. [...]	Mr du Pré continua la Feste le jour suivant pour ceux de la Nation Françoise qui sont dans la Ville & aux environs, & en invita les Principaux de l'un & de l'autre Sexe, à un Régale, où rien ne manqua de toutes les choses qui pouvoient contribuer à le rendre somptueux. A ce Repas succeda le Bal. La Salle où il fut donné, estoit tres-bien éclairée ; & les Dames & les Cavaliers qui estoient en fort grand nombre, ne s'y firent pas moins remarquer par la propreté de leur parure que par la justesse de leurs dances.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"MARIE-ANNE-CHRISTINE-VICTOIRE DE BAVIÈRE [1660-1690], dauphine	BOURGOGNE, Louis de France [1682-1712], duc de	DU PRÉ, Roland",,,,1682.10	1682.08.17-1682.08.19,,16821039,,,,,,,,,,,,,,,,,,,
16821038,# compte-rendu,,,,,,,,"AVIGNON, Église des Célestins, chapelle royale Saint-Pierre de Luxembourg","Mercure Galant, octobre 1682 [deuxième partie], p. 182-185, 187-188",,cloche	concert	Te Deum laudamus	réjouissance publique	célébration d'une naissance princière	Exaudiat te Dominus,1682.10.38,,,,,,,,,,"Avignon, & Célestins.		La Naissance de Monseigneur le Duc de Bourgogne, n'a pas seulement fait éclater la joye dans toutes les Villes du Royaume. Celles qui ne sont point sous l'heureuse Domination de son Monarque, ont aussi marqué la leur, avec un zele qui n'a pas paru moins ardent que celuy de ses Sujets. La Ville d'Avignon s'est particulierement distinguée. Les Feux d'artifice, les Illuminations, les décharges de l'Artillerie, le son des Cloches, les Te Deum, les Processions, & géneralement tout ce qui peut témoigner qu'on est tres-sensible à un grand Bonheur, a paru dans cette Ville-là, & les Peuples, les Consuls, l'Archevesque, & le Vice-Legat, n'ont rien oublié pour se signaler. On ne doit pas s'étonner après cela si les Celestins qui sont dans la mesme Ville d'Avignon, ont donné les démonstrations de joye que je vais vous dire, puis qu'ils auroient dû en faire paroître beaucoup, pour suivre l'exemple qu'ils ont receu, quand même ils n'auroient pas esté fondez par Charles VI. Roy de France, & qu'ils n'auroient pas Loüis Duc d'Orleans son Frere pour l'un de leurs principaux Fondateurs. [...] Ces Peres qui ont le Corps du Pape Clement VII. dans leur superbe Eglise, commencerent leurs Réjoüissances, suivant les ordres du Pere Nicolas Malet leur Supérieur, par une Fontaine d'un excellent Vin, qui coula pendant dix-huit heures. [...]	On avoit mis à la Place la plus honorable de la magnifique Chapelle de Saint Pierre de Luxembourg, où se fit la Ceremonie, le Portrait du Roy sous un riche Dais, pour montrer que ce Monarque est le Fondateur & le Protecteur de ce Monastere, basty en Terre Papale. A l'entrée de la nuit le Vice-Legat, accompagné des Consuls & de toute la Noblesse du Païs & de la Ville, se rendit à l'Eglise de ces Peres, & en suite dans cette Chapelle. On y chanta le Te Deum & l'Exaudiat en Musique. Il y avoit grand nombre de toute sorte d'Instrumens, & la Symphonie fut trouvée fort bonne. Les Actions de graces finies, on entendit une décharge de toutes les Boëtes de la Ville, qu'on avoit placées dans le Jardin de ce Monastere. Ce bruit fit connoître qu'on se préparoit à faire joüer le Feu d'artifice, qui eut un fort grand succés. La Peinture, & la Sculpture, en estoient fort agréables. Au couronnement de la Machine, on voyoit deux Dauphins qui soûtenoient un Soleil, & qui recevant de luy leurs forces & leurs lumieres, sembloient vouloir s'élever jusqu'à cet Astre. On lisoit ces paroles, Erigit se Delphinus in Astra. Pendant que l'Artifice charmoit les yeux, un Concert de toutes sortes d'Instrumens, occupoit agréablement les oreilles.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de	ORLÉANS, Louis d' [1372-1407], duc	CLÉMENT VII, pape  [sed. 1523-1534]	CHARLES VI [1368-1422], roi de France	MALET, Nicolas [?-?]	LIBELLI, Hyacinthe [1616-1684]",,,,1682.10,,16821038,,,,,,,,,,,"non identifié, Te Deum laudamus	non identifié, Exaudiat",,,,,,,,Célestins d'Avignon
16821037,# compte-rendu,,,,,,,,METZ	STRASBOURG,"Mercure Galant, octobre 1682 [deuxième partie], p. 180-181",,Te Deum laudamus	célébration d'une naissance princière	réjouissance publique,1682.10.37,,,,,,,,,,"Metz.		Elle a esté grande à Metz, & ses Habitans l'ont d'autant plus ressentie, qu'ils ne doutent point que Monseigneur le Duc de Bourgogne n'ait esté conçeu dans leur Ville, lorsqu'au retour de Strasbourg la Cour y passa dans les premiers jours du mois de Novembre. Trois décharges de tout le Canon, & la Mousqueterie des Cadets de la Citadelle, y precéderent les ordres du Roy. On choisit le 15. d'Aoust, jour de l'Assomption de la Vierge, pour chanter le Te Deum, qui fut entonné par Mr de la Feüillade, Evesque de Metz, au retour de la Procession genérale qu'on fait de jour-là dans toute la France. Mr le Roy, Commandant de la Place, y assista, accompagné des Officiers de la Garnison, & de tous les Corps. Le soir de ce mesme jour, Mr de la Grillonniere, Maistre Echevin, donna ses ordres pour un grand Feu d'artifice, & pour plusieurs autres Feux qu'on alluma dans toutes les Ruës à diférentes reprises. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de	AUBUSSON LA FEUILLADE, Georges d' [1609-1697]	LE ROY, Mr [commandant de Metz]	LA GRILLONIÈRE, Thomas Béraud [?-?], sieur de",,,,1682.10	1682.08.15,,16821037,,,,,,,,,,,,,,,,,,,
16821036,# compte-rendu,,,,,,,,"TROYES, Cathédrale Saint-Pierre et Saint-Paul	TROYES, Église collégiale Saint-Étienne","Mercure Galant, octobre 1682 [deuxième partie], p. 179-180",,Te Deum laudamus	célébration d'une naissance princière	réjouissance publique,1682.10.36,,,,,,,,,,"Troyes.		Le mesme Dimanche seiziéme d'Aoust, le Te Deum fut chanté solemnellement à Troyes, en présence de Mr le Marquis de Chapelaines, Grand-Bailly de Troyes, de son Lieutenant, des Officiers de l'Election, & du Corps de Ville. Tous les Corps Ecclesiastiques y assisterent, mesme le Chapitre de l'Eglise Royale & Collégiale de S. Etienne, qui ne s'estoit point trouvé depuis cinquante ans avec celuy de la Cathédrale. [...] je ne vous dis rien de particulier des témoignages que toute la Ville donna de sa joye. Rien n'y manqua de ce qui pouvoit la faire éclater.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de	CHAPELAINES, Charles Largentier [1619 ca-1704], marquis de",,,,1682.10	1682.08.16,,16821036,,,,,,,,,,,,,,,,,,,Chapitre de la cathédrale Saint-Pierre et Saint-Paul de Troyes	Chapitre de l'église Saint-Étienne de Troyes
16821035,# compte-rendu,,,,,,,,"BOURGES, Place Saint-Pierre	BOURGES, Quartier Saint-Suplice	BOURGES, Place du poids du roi","Mercure Galant, octobre 1682 [deuxième partie], p. 174-176",,violon	réjouissance publique	concert	cloche	musique de réjouissance publique	célébration d'une naissance princière	décor éphémère	motet	Exaudiat te Dominus,1682.10.35,,,,,,,,,,"Bourges.		Vous jugerez de ce qui s'est fait à Bourges, par le détail des Réjoüissances d'un seul Quartier. Mr Guillot, Echevin de celuy de S. Sulpice, en fit armer tous les Habitans le matin du 6. de Septembre. L'apresdînée, toutes les Cloches des quatre Paroisses de ce Quartier ayant sonné fort longtemps, on orna toutes les Places de belles Tapisseries, sur lesquelles les Armes du Roy, de la Reyne, & de toute la Maison Royale, furent mises entourées de Fleurs & de Lauriers, & au dessous, celles de Mr le Prince de Soubise, Gouverneur de la Province. On mena six Pieces de Canon à la Place de S. Pierre, & deux devant la Maison de Mr l'Intendant. Il y eut un grand Feu de joye à la Place du Poids du Roy, & un autre d'artifice où couloit une Fontaine de Vin. Cet Echevin donna sur les six heures du soir un magnifique Soupé au Corps de Ville ; & à huit heures, les Habitans du Quartier, au nombre de six cens, commandez par Mr Poucet leur Lieutenant, le vinrent prendre chez luy, apres avoir esté faire leur décharge au Logis de Mr l'Intendant. Mr Guillot se mit à leur teste avec les Officiers de Ville, & alla allumer le Feu de joye. Il y avoit deux Amphitheatres dans la Place. Sur l'un estoit un Choeur de Musique, qui chanta l'Exaudiat, & quelques Motets ; & sur l'autre, un Concert de Violons. Toute la nuit se passa en joye.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	MARIE-THÉRÈSE [1638-1683], reine de France	BOURGOGNE, Louis de France [1682-1712], duc de	GUILLOT, Mr	POUCET, Mr",,,,1682.10,,16821035,,,,,,,,,,,"non identifié, Exaudiat	non identifié, Motet",,,,,,,,
16821034,# compte-rendu,,,,,,,,MONTPELLIER	VILLENEUVE-LÈS-BÉZIERS,"Mercure Galant, octobre 1682 [deuxième partie], p. 171-173",,fifre	hautbois	tambour	trompette	violon	célébration d'une naissance princière	Te Deum laudamus	musique de plein air	musique de réjouissance publique,1682.10.34,,,,,,,,,,"Villeneuve la Crémane.		En vous parlant il y a un mois des Festes de Montpellier, je vous manday que Madame la Marquise de Castres, qui en l'absence de Mr le Marquis de Castres son Fils, qui en est le Gouverneur, avoit donné ses ordres pour les Réjoüissances publiques, estoit alors à Villeneuve la Crémane. Elle y assista au Te Deum, accompagnée d'un fort grand nombre de Personnes qualifiées, que Mr le Marquis de Villeneuve son Gendre avoit invitées à cette Feste. Ce Te Deum fut suivy du bruit d'une infinité de Boëtes, & d'une décharge de Mousqueterie. Plus de cinq cens Hommes sous les armes, tous tres proprement vestus, se rendirent à l'entrée du Chasteau, où le Vin leur fut prodigué en abondance. Il y eut un magnifique Soupé, apres lequel on alla se promener dans le Parc. Au bout d'une grande Allée qui regarde le Chasteau, estoit un grand Feu de joye que Mr le Marquis de Villeneuve, & plusieurs Gentilhommes, allumerent, chacun avec un Flambeau de cire blanche. Les Trompetes, Tambours, Violons, Hautbois, & Fifres, faisoient une agreable harmonie, pendant qu'on renouveloit à plusieurs reprises la décharge des Boëtes & des Mousquets. Chacun s'estant rendu de là sur une Terrasse, on fit joüer le Feu d'artifice, basty sur un grand Rondeau dans le milieu de la mesme Allée, ayant de tres-beaux Parterres à droite & à gauche. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"CASTRIES, Jean-François de La Croix [1663-1728], marquis de	CASTRIES, Élisabeth de Bonzi [1626-1708], marquise de	BOURGOGNE, Louis de France [1682-1712], duc de	VILLENEUVE, Louis-Joseph de Brunet-de-Pujols-de-Castelpers-de-Lévis [1635-?], marquis de",,,,1682.10	1682.09,,16821034,,,,,,,,,,,,,,,,,,,
16821033,# compte-rendu,,,,,,,,"VENISE, Église della Madonna dell'Orto	VENISE, Palais de l'Ambassadeur de France","Mercure Galant, octobre 1682 [deuxième partie], p. 109-112, 115-116",,concert	hautbois	trompette	violon	musique de plein air	musique de réjouissance publique	Te Deum laudamus	célébration d'une naissance princière	masque,1682.10.33,,,,,,,,,,"Venise.		Les Festes que Mr Amelot, Ambassadeur de France à Venise, a faites pendant trois jours, ont esté fort éclatantes. Elles commencérent le Dimanche 30. Aoust, par un Te Deum qu'il fit chanter dans l'Eglise appellée La Madonna del Horto, après que l'Abbé de cette Eglise eut celebré la Messe Pontificalement. La Musique estoit composée de tout ce qu'il y a de plus excellent à Venise pour les Instrumens & pour les Voix. Trois salves de deux cens Boëtes accompagnérent la Cerémonie, qui attira un concours de monde extraordinaire. [...] Mr le Duc de la Rocheguyon, Mr le Marquis de Liancourt, & quelques autres Gentilhommes François qui se trouverent alors à Venise, dînerent chez Mr l'Ambassadeur. Son Palais fut ouvert à tout le monde depuis quatre heures après midy, jusqu'à onze heures du soir, & il n'y venoit personne à qui l'on ne présentast des Confitures seches, & des Eaux glacées de toutes sortes. La plûpart estoient masquez suivant la coûtume, & ce fut de cette sorte que Mr le Duc de Mantouë y vint, aussi bien que les Ambassadeurs de l'Empereur & du Roy d'Espagne. Les Violons, les Hautbois & les Trompetes, se faisoient entendre de tous costez, & il y avoit de petits Concerts particuliers en divers Apartemens. [...] Toutes les Avenuës du Palais furent éclairées chaque soir par une tres grande quantité de ces Lumieres ardentes qu'on employe dans le Païs en de pareilles occasions, & par de grands Feux qu'on avoit faits sur les Ponts du Canal. [...]	Cette Illumination fit un effet merveilleux, éclairant la Mer de telle sorte, que toutes les Gondoles de Venise, qu'elle attira, particulierement les deux derniers jours, devinrent un autre Spectacle encor plus nouveau que celuy de la Machine. Une salve de deux cens Boëtes préceda le Feu, qui fut terminé par une Girandole d'une infinité de Fusées volantes. Les Trompetes se faisant entendre du mesme lieu où il fut tiré, répondoient à d'autres qui estoient dans le Jardin ; & lors qu'elles cessoient de sonner, les Hautbois divertissoient agreablement les Spectateurs. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"GOUVRAY, Abraham-Nicolas Amelot de La Houssaye [1634-1709], comte de	MANTOUE, Charles III Ferdinand de Gonzague [1652-1708], duc de	LA ROCHEGUYON, François VIII de La Rochefoucauld [1663-1728], duc de	LIANCOURT, Henri-Roger de La Rochefoucauld [1665-1749], marquis de	BOURGOGNE, Louis de France [1682-1712], duc de	AMBASSADEUR D'ESPAGNE À VENISE [1682.10]	AMBASSADEUR DU SAINT EMPIRE ROMAIN GERMANIQUE À VENISE [1682.10]",,,,1682.10	1682.08.30,,16821033,,,,,,,,,,,"non identifié, Te Deum laudamus",,,,,,,,
16821032,# compte-rendu,,,,,,,,"LIVOURNE, Église des Pères Observantins, chapelle Saint-Louis","Mercure Galant, octobre 1682 [deuxième partie], p. 106",,Te Deum laudamus	célébration d'une naissance princière,1682.10.32,,,,,,,,,,"Livourne.		La Feste fut commencée à Livourne le Vendredy 21. Aoust, par un Te Deum que l'on chanta solemnellement dans l'Eglise des Peres Observantins, où est la Chapelle de Saint Loüis de la Nation Françoise. Il y eut deux Choeurs de Musique, & une excellente Simphonie. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de",,,,1682.10	1682.08.21,,16821032,,,,,,,,,,,"non identifié, Te Deum laudamus",,,,,,,,Observantins de Livourne
16821031,# compte-rendu,,,,,,,,"GÊNES, Palais du Consul de France	GÊNES, Place de Campetto	GÊNES, Église de l'Annonciade, chapelle Saint-Louis","Mercure Galant, octobre 1682 [deuxième partie], p. 92-97, 99, 102-105",,musique de réjouissance publique	Te Deum laudamus	célébration d'une naissance princière	messe en musique	musique de plein air	concert	violon	trompette	hautbois	fête de Saint-Louis,1682.10.31,,,,,,,,,,"Genes.		Mr de S. Olon, Résident de Genes, ayant apris dés le soir du Mercredy 12. d'Aoust par un Courrier qui alloit à Rome, que Madame la Dauphine estoit accouchée d'un Prince, reçeut le lendemain au matin les témoignages de joye de la Nation Françoise, par la bouche de Mr Aubert qui en est Consul ; [...]. Comme rien n'égale son zele pour Sa Majesté, dont il a l'honneur d'estre Gentilhomme ordinaire, il manda aussi tost des Ouvriers, & leur donna ordre de travailler aux Feux d'artifice, qui devoient accompagner la Feste qu'il vouloit faire. En mesme temps il fit demander au Sénat une Audience publique, qui luy fut accordée pour le Vendredy au soir 14. du mois. [...]	Les choses qu'on avoit fait préparer estant prestes, Mr & Madame de S. Olon se rendirent le Vendredy 21. à l'Eglise de l'Annonciade, accompagnez de tous les François qui estoient à Genes. On y chanta une grande Messe dans la Chapelle de Saint Loüis, qui fut parée ce jour là extraordinairement. Le Portrait du Roy y estoit sous un magnifique Dais. Il y eut deux Choeurs de Musique & d'Instrumens. Le Sr Federico qui en estoit Chef, se fit admirer. La cerémonie finit par le bruit de deux cens Boëtes, & de tous les Canons des Vaisseaux François qui se rencontrerent dans le Port. Mr de S. Olon traita au retour Mr Aubert, & douze des principaux de la Nation, avec beaucoup de magnificence. Le soir tout son Palais fut illuminé d'un nombre infiny de Flambeaux de cire blanche, & sur les neuf heures, on entendit une Symphonie fort agreable de Violons, de Hautbois & de Trompetes. Ce fut un signal pour mettre le Feu à trois Machines, élevées dans une petite Place sur laquelle donne le Palais de Mr le Résident. Ce Spéctacle ayant attiré de tous costez une foule incroyable de Curieux, il donna ordre que l'on fist entrer tous ceux qui avoient façon d'honnestes Gens. On leur servit une superbe Collation, où les Liqueurs qui plaisent tant aux Italiens ne manquerent pas ; [...].	La Machine qu'on préparoit pour le Dimanche 23. n'ayant pû estre élevée dans la Place du Palais de Mr le Résident, parce qu'elle est trop petite, il choisit celle de Campetto, où est la Maison Consulaire. Ainsi ce troisiéme jour, on y vit paroistre dés le matin une Victoire sur un Char de Triomphe tiré par des Chevaux, qui sembloient estre entraînez dans la Mer, le tout d'un tres-beau dessein. Cela faisoit une juste allusion au nom de Victoire que porte Madame la Dauphine. [...]	Mr de S. Olon avoit fait illuminer la Maison Consulaire aussi bien que son Palais ; & dés qu'il fut arrivé, divers Instrumens donnerent le signal du Feu. On le mit d'abord à deux petites Machines qu'on avoit dressées au bout de deux Ruës, qui aboutissent à la grande Place de Campetto. Elles eurent tant de succés qu'on espera tout du Char. Aussi l'effet en fut merveilleux. [...] La Nation Françoise ne s'oublia pas pendant ces trois jours, tous les Particuliers ayant illuminé leurs Fenestres, & fait des Feux devant leurs Maisons. Le soir du 24. elle fit chanter le Te Deum à l'Annonciade en présence de Mr le Résident ; ce qui fut suivy de la décharge de plus de cent Boëtes, & de trois Feux d'artifice. Le lendemain, Feste de S. Loüis, toute la Nation conduite par son Consul, ayant esté prendre Mr & Madame de Saint Olon dans leur Palais, les accompagnerent en la mesme Eglise de l'Annonciade, où ils entendirent la grande Messe, qui fut celebrée solemnellement dans la Chapelle dédiée à ce Grand Saint. La Musique y fut tres-belle, & le Sr Dominico Paganelli en reçeut beaucoup de gloire. On entendit quantité de Boëtes, qui terminérent la Ceremonie, & le soir Mr Aubert voulant signaler son zele en particulier, donna le Spéctacle d'un Feu d'artifice qu'il avoit fait élever au milieu de la Place Campetto. C'estoit un Théatre sur lequel on voyoit une Figure qui représentoit la France Victorieuse. [...]	Toutes les Fenestres de la Maison estoient éclairées d'une infinité de Flambeaux de Cire blanche, & les Trompetes ayant donné le Signal, on fit joüer le Feu d'artifice, qui fut precédé de quantité de Fusées volantes. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"PIDOU DE SAINT-OLON, François [1646-1720]	PIDOU DE SAINT-OLON, Mme	MARIE-ANNE-CHRISTINE-VICTOIRE DE BAVIÈRE [1660-1690], dauphine	AUBERT, Mr	PAGNELLI, Domenico	BOURGOGNE, Louis de France [1682-1712], duc de	LOUIS XIV [1638-1715], roi de France	FEDERICO, Mr",,,,1682.10	1682.08.12	1682.08.23	1682.08.24	1682.08.21,,16821031,,,,,,,,,,,,,,,,,,,
16821030,# compte-rendu,,,,,,,,LA CHARITÉ-SUR-LOIRE,"Mercure Galant, octobre 1682 [deuxième partie], p. 74-75",,hautbois	tambour	célébration d'une naissance princière	musique de réjouissance publique	musique de plein air,1682.10.30,,,,,,,,,,"Charité sur Loire.		On s'est distingué à la Charité-sur-Loire, presque toutes les semaines, depuis la Naissance du jeune Prince, par des Illuminations & par des Feux, tantost dans un Quartier, tantost dans un autre. Celuy qui est le plus voisin du Rivage, s'aquita de ce devoir le Dimanche 27. du dernier mois, d'une maniere qui surprit agreablement toute la Ville. Une grande Fille représentant la Victoire, parut l'apresdînée dans un Char tres-propre. Elle estoit vestuë magnifiquement, ainsi que quatre Figures qui représentoient les quatre Parties du Monde, & suivoient le Char. Il estoit tiré par quatre Esclaves, & rouloit au bruit de six Tambours & de six Hautbois, dont l'habillement & la coifure avoient quelque chose de fort singulier. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de",,,,1682.10	1682.09.27,,16821030,,,,,,,,,,,,,,,,,,,
16821029,# compte-rendu,,,,,,,,CLERMONT-FERRAND,"Mercure Galant, octobre 1682 [deuxième partie], p. 73-74",,hautbois	tambour	trompette	violon	célébration d'une naissance princière	musique de réjouissance publique	musique de plein air	carrousel,1682.10.29,,,,,,,,,,"Clermont en Auvergne.		Je ne vous dis rien des Réjoüissances publiques qui ont esté faites à Clermont en Auvergne. Vous pouvez juger de leur éclat par ce qu'a fait un Particulier. Le Mercredy 2. de Septembre, Mr Chery qui tient l'Académie de la Ville, donna le Spéctacle d'un Carrousel, où plusieurs Gentilhommes extrémement propres, & tres-bien montez, coururent la Bague, les Testes, & l'Oye. [...] Tout le monde fut fort satisfait de leur adresse ; & un Manege de Guerre fort juste termina ce Carrousel. Le soir on illumina toutes les Fenestres de l'Académie, & on fit joüer un Feu d'artifice au bruit des Trompetes, des Tambours, des Violons, des Hautbois, & d'une quantité de Mousquets, & de plusieurs grosses Boëtes. Un grand Repas succeda à ces divertissemens, & l'on ne parla dans toute la Ville, que de la galanterie de cette Feste.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de	CHERY, Mr",,,,1682.10	1682.09.02,,16821029,,,,,,,,,,,,,,,,,,,Académie de Clermont-Ferrand
16821028,# compte-rendu,,,,,,,,CLERMONT,"Mercure Galant, octobre 1682, p. 72-73",,bal	tambour	célébration d'une naissance princière	musique de réjouissance publique,1682.10.28,,,,,,,,,,"Clermont en Picardie.		Clermont, petite Ville de Picardie, n'a pas oublié de marquer son zele. Les plaisirs y commencerent par une marche que firent les Habitans du Fauxbourg, ayant Mr Bonvillé pour Capitaine à leur teste. Ils marcherent en fort bon ordre, Tambour batant, jusques à la Ville, où ils furent reçeus par les Echevins, qui les prierent de partager le divertissement du Feu de joye. Mr de Reberque, Huissier du Cabinet du Roy, qui a eu l'honneur de servir Sa Majesté plusieurs années en qualité de Commissaire General des Vivres dans ses Armées, se distingua fort dans cette Feste. Il fit couler une Fontaine de Vin pendant tout le jour, traita splendidement Messieurs de Ville, & donna le soir le Bal aux Dames, avec une Magnifique Collation.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BONVILLÉ, Mr	REBERQUE, Mr de	BOURGOGNE, Louis de France [1682-1712], duc de",,,,1682.08,,16821028,,,,,,,,,,,,,,,,,,,
16821027,# compte-rendu,,,,,,,,"MOULINS, Hôtel de ville	MOULINS, Chez Mr de Bouville","Mercure Galant, octobre 1682 [deuxième partie], p. 64-68",,cloche	tambour	trompette	célébration d'une naissance princière	Te Deum laudamus	musique de réjouissance publique	musique de plein air,1682.10.27,,,,,,,,,,"Moulins.		La joye a esté tres-grande à Moulins, & toute la Ville en a donné d'éclatantes marques ; mais le zele de Mr de Bouville Intendant dans cette Generalité, lui fit prévenir les apprests qui se faisoient pour une Feste publique, & dés le Mardy 11. Aoust il envoya inviter la plus grande partie des Dames, les Officiers du Présidial, du Bureau des Finances, & du Corps de Ville, de mesme que la Noblesse du voisinage, & plusieurs Officiers des Compagnies de Cavalerie qui y sont en garnison. Toute cette Compagnie se rendit chez luy sur les huit heures du soir & trouva dans une grande Salle tres-bien éclairée, trois Tables qui furent servies avec autant de magnificence que de propreté. [...]	Le 25. toutes les Cloches de la Ville annoncerent dés le matin qu'on devoit chanter le Te Deum. Mr le Marquis de Levy Lieutenant General de la Province, y assista accompagné de Mr de Bouville, du Présidial & du Corps de Ville. Cet Intendant ne se contenta pas d'avoir marqué sa joye en particulier ; il voulut encor contribuër aux Réjoüissances publiques par un magnifique Repas qu'il donna le soir à Mr le Marquis de Levy, à Mr Dobeilh Maire, à Messieurs Gaumin, Belin, Villardin, & Cousin, Echevins, & à plus de quarante Personnes de qualité de la Province & des Troupes. [...] Il y eut en beaucoup d'endroits diverses Tables dressées, où l'on faisoit boire tous les Passans à la santé du Roy & du jeune Prince. Sur les neuf heures, Messieurs de Levy & de Bouville, accompagnez des Maires & Echevins, & d'un fort grand nombre de Gentilhommes, se rendirent à la Place où estoit dressé le Feu de joye, précedez des Tambours de la Ville & de six Trompetes. Après qu'il fut allumé, ils se retirerent à l'Hôtel de Ville, où aussi-tost deux Fontaines de Vin commencerent à couler. [...]",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	BOURGOGNE, Louis de France [1682-1712], duc de	MIREPOIX, Jean-Baptiste de Lévis [1636-1687], marquis de	BOUVILLE, Michel-André Jubert de [1645-1720]	GAUMIN, Mr	DOBEIH, Mr	COUSIN, Mr	BELIN, Mr	VILLARDIN, Mr",,,,1682.10	1682.08.11	1682.08.25,,16821027,,,,,,,,,,,,,,,,,,,
